,label,cyto_int,cyto_area,frame,nuc_int,nuc_area,cyto_nuc_ratio
26,42,456.23169398907106,1830,0,448.6087580760948,1393,1.0169923920916482
27,43,464.0615137737363,3739,0,451.36787307883,2017,1.0281226056438657
28,44,446.6015891032917,2643,0,444.27556440903055,1506,1.0052355449648804
29,45,524.684855866829,12315,0,513.9061876247505,2004,1.0209739997330973
30,47,445.3720011289867,3543,0,445.0488017429194,2295,1.0007262111139308
31,49,444.73252688172045,2976,0,442.9376138433515,2196,1.0040522931046532
32,50,467.29768270944743,3366,0,451.70215113072254,1813,1.0345261397132721
33,51,484.29560530679936,2412,0,478.9822485207101,845,1.0110930139947756
34,52,820.7308884993932,7417,0,797.6832151300237,1692,1.028893266063788
35,53,474.59499683343887,3158,0,456.0575679172057,1546,1.0406471248813889
36,54,475.9840917499075,2703,0,471.1897341888176,1091,1.0101750042779343
37,55,463.1102204408818,5489,0,455.19014778325123,2030,1.0173994817247272
38,57,461.9622641509434,3445,0,448.43216630196935,1828,1.0301720056358825
39,58,464.2155963302752,1744,0,457.956931359354,1486,1.0136664925069343
40,59,470.64962299717246,4244,0,462.24455732946296,1378,1.018183157669326
41,60,451.62960609911056,1574,0,449.31922398589063,1134,1.0051419614160388
42,62,477.3136932192232,3038,0,467.765105227427,1473,1.0204132114283164
43,63,917.4328342013889,9216,0,901.7916877850988,1973,1.017344522718663
44,66,436.8457711442786,1206,0,434.6634549208534,1453,1.0050207032560918
45,67,585.9403703703704,2700,0,623.5120132560066,1207,0.9397419102008387
46,68,460.82906626506025,1328,0,456.5244385733157,757,1.0094291287125765
47,69,479.45454545454544,4730,0,474.5673515981735,1752,1.0102982091791894
48,71,439.1519364448858,1007,0,442.0461630695444,1668,0.9934526597752569
49,72,455.0487898578563,7809,0,451.73705722070844,2202,1.0073311068556632
50,73,499.17998902505946,5467,0,505.4508790072389,1934,0.9875934729908945
51,74,439.9892209701127,2041,0,438.89589235127477,1412,1.002491088747677
52,75,572.7903212621598,12233,0,542.5121834687052,2093,1.055810982160553
53,76,467.8263852242744,3790,0,462.06078724464373,2007,1.0124780075236681
54,77,487.3241045163523,11558,0,481.55919003115264,2568,1.0119713518183024
55,79,482.13814432989693,4365,0,464.32210655235764,1633,1.0383699968752842
56,81,563.0970954356847,7230,0,548.4080495356037,1615,1.0267848838333422
57,82,453.9253112033195,4820,0,449.50858951175405,2212,1.0098256669496857
58,83,448.3336745138178,4885,0,444.9267224213461,2511,1.0076573330411145
59,84,456.2828947368421,3344,0,448.5730886850153,1635,1.0171874021119456
60,85,622.126149059539,7071,0,579.30225472273,1641,1.0739232309000863
61,86,460.9758345789736,4014,0,450.16488845780793,2062,1.0240155249739762
62,87,601.952769372451,15202,0,561.469227753822,2551,1.0721028680068272
63,88,450.43072078376485,2858,0,448.606,1500,1.0040675353957924
64,89,582.3996880483525,5129,0,551.9779837775203,1726,1.0551139812907717
65,91,448.86050836949784,3226,0,444.43605292172,1814,1.0099552127211362
66,1,453.27549081697276,7895,1,444.9906343124734,2349,1.018618046910807
67,4,585.9291722000885,4518,1,563.9375459221161,1361,1.0389965634262088
68,5,467.9164820558263,4514,1,462.92046049188906,1911,1.0107923973777884
69,6,480.13053750738334,5079,1,470.3940134392181,1637,1.020698656424171
70,8,796.6710768715458,5971,1,746.465770953295,1563,1.0672573450409317
71,9,479.8519694297472,8505,1,475.03812154696135,1810,1.0101336033140027
72,11,471.80279232111695,5157,1,472.67578125,1536,0.9981530914772607
73,13,580.5069808027923,4584,1,547.9445628997868,1407,1.0594264823628898
74,14,480.163987792472,4915,1,472.0967561521253,1788,1.017088089539313
75,15,524.7222501255651,3982,1,511.3663492063492,1575,1.026118067682679
76,17,454.7224281742354,2158,1,454.89179104477614,1876,0.9996276853663335
77,18,470.47553865652725,3945,1,464.37157534246575,1752,1.0131445670626156
78,19,484.43363136176066,8724,1,479.5739001482946,2023,1.0101334355601155
79,20,487.1070400920775,5213,1,473.67997750281216,1778,1.0283462743349452
80,22,450.7539195637355,2934,1,449.9475476839237,1468,1.0017921464045367
81,23,451.92176634214184,2876,1,447.66309012875536,1398,1.0095131278572946
82,24,459.95340647433295,7383,1,453.1692566148677,2381,1.0149704547703482
83,29,443.9773299748111,2382,1,441.8682842287695,1731,1.004773019067713
84,32,444.7521343198634,3514,1,440.71725239616615,1878,1.009155262022895
85,33,484.83743475018645,6705,1,473.5426884650318,2202,1.0238515904907455
